Model,Split,Target,Residual
Linear Regression,train,triglycerides,-0.2892857703456757
Linear Regression,train,triglycerides,-0.5341766539321164
Linear Regression,train,triglycerides,0.5537875519631017
Linear Regression,train,triglycerides,-0.6950178652616161
Linear Regression,train,triglycerides,1.9606632204436414
Linear Regression,train,triglycerides,0.1867479063442623
Linear Regression,train,triglycerides,-0.8858321696187352
Linear Regression,train,triglycerides,0.32380825326487095
Linear Regression,train,triglycerides,-0.5090793626016472
Linear Regression,train,triglycerides,-0.04178301602314427
Linear Regression,train,triglycerides,-0.378942146655211
Linear Regression,train,triglycerides,-0.1538742178233079
Linear Regression,train,triglycerides,-1.0225466910457524
Linear Regression,train,triglycerides,0.2787826862081255
Linear Regression,train,triglycerides,0.15508443681863238
Linear Regression,train,triglycerides,-0.37258215285316165
Linear Regression,train,triglycerides,0.4833357405627803
Linear Regression,train,triglycerides,-0.19223604651919857
Linear Regression,train,triglycerides,0.34363279234740585
Linear Regression,train,triglycerides,0.7983244383775023
Linear Regression,train,triglycerides,0.5921520695734488
Linear Regression,train,triglycerides,0.12724607391937326
Linear Regression,train,triglycerides,-0.42263123537009584
Linear Regression,train,triglycerides,0.9826739437894734
Linear Regression,train,triglycerides,0.6035981588618613
Linear Regression,train,triglycerides,0.697874232682552
Linear Regression,train,triglycerides,-0.06255698788503317
Linear Regression,train,triglycerides,-0.20546479970357723
Linear Regression,train,triglycerides,-0.4105883756567055
Linear Regression,train,triglycerides,-0.8146873170465816
Linear Regression,train,triglycerides,-0.4845192473894815
Linear Regression,train,triglycerides,-0.3978932153730925
Linear Regression,train,triglycerides,1.0170846060103669
Linear Regression,train,triglycerides,-0.2868319580008354
Linear Regression,train,triglycerides,-0.6003960450558758
Linear Regression,train,triglycerides,0.1580236810923603
Linear Regression,train,triglycerides,-0.5116210412033473
Linear Regression,train,triglycerides,0.5848374430793042
Linear Regression,train,triglycerides,0.10245817566034265
Linear Regression,train,triglycerides,0.7556222317981964
Linear Regression,train,triglycerides,-0.42951699760102224
Linear Regression,train,triglycerides,-0.33308307915324153
Linear Regression,train,triglycerides,0.33700348169094596
Linear Regression,train,triglycerides,0.11752392784120858
Linear Regression,train,triglycerides,-0.12447488668894868
Linear Regression,train,triglycerides,-0.3441146891337574
Linear Regression,train,triglycerides,-0.007557712313261966
Linear Regression,train,triglycerides,0.44351590369558114
Linear Regression,train,triglycerides,0.14761658779486275
Linear Regression,train,triglycerides,-0.019363241905213435
Linear Regression,train,triglycerides,0.19751537626288762
Linear Regression,train,triglycerides,0.30547474888363535
Linear Regression,train,triglycerides,0.4891344297774758
Linear Regression,train,triglycerides,-0.09272191014333808
Linear Regression,train,triglycerides,-0.22948952701414793
Linear Regression,train,triglycerides,0.827378630416284
Linear Regression,train,triglycerides,0.25250811293756836
Linear Regression,train,triglycerides,0.3480177073169477
Linear Regression,train,triglycerides,-1.0779106601793136
Linear Regression,train,triglycerides,-0.7163711876355969
Linear Regression,train,triglycerides,0.5649487858828959
Linear Regression,train,triglycerides,0.6448735546073463
